announcement_date,effective_date,index,action,ticker,company_name
2015-09-04,2015-09-18,ASX200,Addition,MTR,Mantra Group Limited
2015-09-04,2015-09-18,ASX200,Addition,MYO,MYOB Group Limited
2015-09-04,2015-09-18,ASX200,Removal,AGI,Ainsworth Game Technology Limited
2015-09-04,2015-09-18,ASX200,Removal,BKN,Bradken Limited
2015-09-04,2015-09-18,ASX200,Removal,KMD,Kathmandu Holdings Limited
2015-09-04,2015-09-18,ASX200,Removal,MRM,MMA Offshore Limited
2015-09-04,2015-09-18,ASX200,Removal,SXY,Senex Energy Limited
2015-09-04,2015-09-18,ASX200,Removal,UGL,UGL Limited
2015-12-04,2015-12-18,ASX200,Addition,API,Australian Pharmaceutical Industries Limited
2015-12-04,2015-12-18,ASX200,Addition,APO,APN Outdoor Group Limited
2015-12-04,2015-12-18,ASX200,Addition,CGC,Costa Group Holdings Limited
2015-12-04,2015-12-18,ASX200,Addition,ISD,Isentia Group Limited
2015-12-04,2015-12-18,ASX200,Addition,PRG,Programmed Maintenance Services Limited
2015-12-04,2015-12-18,ASX200,Removal,ARI,Arrium Limited
2015-12-04,2015-12-18,ASX200,Removal,CDD,Cardno Limited
2015-12-04,2015-12-18,ASX200,Removal,DLS,Drillsearch Energy Limited
2015-12-04,2015-12-18,ASX200,Removal,DSH,Dick Smith Holdings Limited
2015-12-04,2015-12-18,ASX200,Removal,PDN,Paladin Energy Ltd
2016-09-02,2016-09-16,ASX200,Addition,GXY,Galaxy Resources Limited
2016-09-02,2016-09-16,ASX200,Addition,IFN,Infigen Energy
2016-09-02,2016-09-16,ASX200,Addition,NXT,Nextdc Limited
2016-09-02,2016-09-16,ASX200,Addition,ORE,Orocobre Limited
2016-09-02,2016-09-16,ASX200,Addition,RSG,Resolute Mining Limited
2016-09-02,2016-09-16,ASX200,Addition,WEB,Webjet Limited
2016-09-02,2016-09-16,ASX200,Removal,ASB,Austal Limited
2016-09-02,2016-09-16,ASX200,Removal,CVO,Cover-More Group Limited
2016-09-02,2016-09-16,ASX200,Removal,MSB,Mesoblast Limited
2016-09-02,2016-09-16,ASX200,Removal,PRG,Programmed Maintenance Services Limited
2016-09-02,2016-09-16,ASX200,Removal,SHV,Select Harvests Limited
2016-09-02,2016-09-16,ASX200,Removal,VRL,Village Roadshow Limited
2017-09-01,2017-09-18,ASX200,Addition,CLW,Charter Hall Long Wale REIT
2017-09-01,2017-09-18,ASX200,Addition,NHF,NIB Holdings Limited
2017-09-01,2017-09-18,ASX200,Addition,SOL,Washington H Soul Pattinson & Company Limited
2017-09-01,2017-09-18,ASX200,Removal,ISD,Isentia Group Limited
2017-09-01,2017-09-18,ASX200,Removal,SKT,Sky Network Television Limited
2017-09-01,2017-09-18,ASX200,Removal,VRT,Virtus Health Limited
2018-09-07,2018-09-24,ASX200,Addition,BIN,Bingo Industries Limited
2018-09-07,2018-09-24,ASX200,Addition,ELD,Elders Limited
2018-09-07,2018-09-24,ASX200,Removal,GMA,Genworth Mortgage Insurance Australia Limited
2018-09-07,2018-09-24,ASX200,Removal,GXL,Greencross Limited
2019-09-06,2019-09-23,ASX200,Addition,CKF,Collins Foods Limited
2019-09-06,2019-09-23,ASX200,Addition,GOR,Gold Road Resources Limited
2019-09-06,2019-09-23,ASX200,Addition,JIN,Jumbo Interactive Limited
2019-09-06,2019-09-23,ASX200,Addition,NWL,Netwealth Group Limited
2019-09-06,2019-09-23,ASX200,Addition,PNV,Polynovo Limited
2019-09-06,2019-09-23,ASX200,Addition,SLR,Silver Lake Resources Limited
2019-09-06,2019-09-23,ASX200,Removal,ALG,Ardent Leisure Group Limited
2019-09-06,2019-09-23,ASX200,Removal,API,Australian Pharmaceutical Industries Limited
2019-09-06,2019-09-23,ASX200,Removal,ECX,Eclipx Group Limited
2019-09-06,2019-09-23,ASX200,Removal,EHL,Emeco Holdings Limited
2019-09-06,2019-09-23,ASX200,Removal,PGH,Pact Group Holdings Ltd
2019-09-06,2019-09-23,ASX200,Removal,SIG,Sigma Healthcare Limited
2020-09-04,2020-09-21,ALLAUS200,Addition,KGN,Kogan.Com Ltd
2020-09-04,2020-09-21,ALLAUS200,Addition,Z1P,Zip Co Limited
2020-09-04,2020-09-21,ALLAUS200,Removal,HSN,Hansen Technologies Limited
2020-09-04,2020-09-21,ALLAUS200,Removal,JIN,Jumbo Interactive Limited
