name,url,bytes,source
20180608-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20180608-asx200-rebalance.pdf,127098,marketindex
20180831-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20180831-asx200-removal.pdf,72052,marketindex
20180905-asx200-update.pdf,https://files.marketindex.com.au/files/announcements/20180905-asx200-update.pdf,72057,marketindex
20180907-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20180907-asx200-rebalance.pdf,133592,marketindex
20180910-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20180910-asx200-removal.pdf,72567,marketindex
20181004-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20181004-asx200-removal.pdf,75673,marketindex
20181011-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20181011-asx200-removal.pdf,75850,marketindex
20181114-asx200-demerger.pdf,https://files.marketindex.com.au/files/announcements/20181114-asx200-demerger.pdf,82639,marketindex
20181121-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20181121-asx200-removal.pdf,86413,marketindex
20181129-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20181129-asx200-removal.pdf,86670,marketindex
20181214-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20181214-asx200-rebalance.pdf,81235,marketindex
20190308-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20190308-asx200-rebalance.pdf,132411,marketindex
20190415-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20190415-asx200-removal.pdf,80502,marketindex
20190614-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20190614-asx200-rebalance.pdf,213998,marketindex
20190731-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20190731-asx200-removal.pdf,79605,marketindex
20190906-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20190906-asx200-rebalance.pdf,135577,marketindex
20191107-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20191107-asx200-removal.pdf,85749,marketindex
20191205-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20191205-asx200-removal.pdf,86795,marketindex
20191213-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20191213-asx200-rebalance.pdf,150560,marketindex
20200313-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20200313-asx200-rebalance.pdf,153337,marketindex
20200316-asx200-demerger.pdf,https://files.marketindex.com.au/files/announcements/20200316-asx200-demerger.pdf,85356,marketindex
20200323-asx200-rebalance-delayed.pdf,https://files.marketindex.com.au/files/announcements/20200323-asx200-rebalance-delayed.pdf,249120,marketindex
20200612-asx200-rebalance.pdf,https://files.marketindex.com.au/files/announcements/20200612-asx200-rebalance.pdf,136942,marketindex
20200625-asx200-demerger.pdf,https://files.marketindex.com.au/files/announcements/20200625-asx200-demerger.pdf,83203,marketindex
20200630-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20200630-asx200-removal.pdf,84775,marketindex
20210127-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20210127-asx200-removal.pdf,84399,marketindex
20210416-asx200-removal.pdf,https://files.marketindex.com.au/files/announcements/20210416-asx200-removal.pdf,97324,marketindex
20210618-asx200-demerger.pdf,https://files.marketindex.com.au/files/announcements/20210618-asx200-demerger.pdf,79469,marketindex
