ticker,n_events,actions,first_ann,last_ann,company_name,in_yahoo,in_fmp,has_price
OGC,1,Removal,2013-12-06,2013-12-06,OceanaGold Corporation,False,False,False
OMH,1,Removal,2011-12-16,2011-12-16,OM Holdings Limited,True,True,True
OML,1,Addition,2017-07-28,2017-07-28,,True,True,True
ORE,1,Addition,2016-09-02,2016-09-02,Orocobre Limited,True,True,True
OSH,1,Removal,2021-12-07,2021-12-07,,False,False,False
OZL,1,Removal,2023-04-13,2023-04-13,,True,True,True
PAN,1,Removal,2012-09-07,2012-09-07,Panoramic Resources Limited,True,True,True
PBG,1,Removal,2016-06-21,2016-06-21,,False,False,False
PBH,2,"Addition,Removal",2021-01-27,2022-09-02,Pointsbet Holdings Limited,True,True,True
PDI,1,Addition,2026-03-06,2026-03-06,Predictive Discovery Limited,True,True,True
PDL,1,Removal,2023-01-06,2023-01-06,,False,False,False
PDN,1,Removal,2015-12-04,2015-12-04,Paladin Energy Ltd,True,True,True
PGH,2,"Addition,Removal",2014-03-07,2019-09-06,Pact Group Holdings Ltd,True,True,True
PLS,3,"Addition,Removal",2017-12-08,2021-03-12,Pilbara Minerals Limited,True,True,True
PME,1,Addition,2019-07-31,2019-07-31,,True,True,True
PMV,1,Addition,2013-03-01,2013-03-01,Premier Investments Limited,True,True,True
PNA,1,Removal,2015-05-15,2015-05-15,,False,False,False
PNI,2,"Addition,Removal",2019-03-08,2020-06-12,Pinnacle Investment Management Group Limited,True,True,True
PNR,1,Addition,2025-12-05,2025-12-05,Pantoro Gold Limited,True,True,True
PNV,4,"Addition,Removal",2019-09-06,2025-09-05,Polynovo Limited,True,True,True
PRG,2,"Addition,Removal",2015-12-04,2016-09-02,Programmed Maintenance Services Limited,True,True,True
PRN,1,Addition,2025-09-05,2025-09-05,Perenti Limited,True,True,True
PRU,1,Addition,2020-06-12,2020-06-12,Perseus Mining Limited,True,True,True
PTM,1,Removal,2022-06-03,2022-06-03,Platinum Asset Management Limited,True,True,True
PXA,1,Addition,2023-01-06,2023-01-06,,True,True,True
RBL,1,Addition,2021-04-16,2021-04-16,,True,True,True
